Area,Plot no.,subplot Center/West/East,Day of inventory,Inventoried by,Registered by,Cut stumps within the area (Yes/No),Cut stumps species,Cut stumps diameter (cm),Tree no,Tree species,Tree diameter 130 cm above ground,% branches reaching ground,Stem=S/Branches=B/T=Total,stem with/without lichens (Yes/No),Branches with/without lichens (Yes/No),Absconditella lignicola,Acrocordia gemmata,Anaptychia ciliaris,Anisomeridium polypori,Arthonia vinosa,Scoliciosporum pruinosum,Bacidia arceutina,Bacidia beckhausii,Biatora efflorescens,Biatora helvola,Bryoria capillaris,Bryoria fuscescens,Bryoria implexa,Bryoria sp. length longest thallus (mm),Buellia griseovirens,Calicium glaucellum,Calicium parvum,Caloplaca cerina,Candelariella xanthostigma,Catillaria erysiboides,Catinaria atropurpurea,Chaenotheca chrysocephala,Chaenotheca ferruginea,Chaenotheca furfuracea,Chaenotheca trichialis,Cladonia arbuscula,Cladonia botrytes,Cladonia cenotea,Cladonia chlorophaea,Cladonia coniocraea,Cladonia cornuta,Cladonia deformis,Cladonia digitata,Cladonia floerkeana,Cladonia fimbriata,Cladonia macilenta,Cladonia pyxidata,Cladonia rangiferina,Cladonia sulphurina,Cladonia squamosa,Cladonia sp. phyllocladia PD+ red,Coenogonium pineti,Evernia prunastri,Fellhanera boutellei,Fuscidea arboricola,Graphis scripta,Gyalolechia flavorubescens ,Hypocenomyce scalaris,Hypogymnia farinacea,Hypogymnia physodes,Hypogymnia tubulosa,Imshauguia aleurites,Japewia subaurifera,Lecanora albellula,Lecanora carpinea,Lecanora chlarotera,Lecanora expallens,Lecanora hypoptella,Lecanora pulicaris,Lecanora sambuci,Lecanora subintricata,Lecanora subrugosa,Lecanora symmicta,Lecidea erythrophaea,Lecidea nylanderi ,Lecidea turgidula,Lecidella elaeochroma,Lepraria incana,Lepraria lobificans,Loxospora elatina,Melanelixia glabratula,Melanelixia subaurifera,Micarea denigrata,Micarea lignaria,Micarea melaena,Micarea misella,Micarea peliocarpa,Micarea prasina,Mycobilimbia epixanthoides,Mycoblastus alpinus ,Mycoblastus sanguinarius,Ochrolecia arborea,Ochrolechia androgyna,Ochrolechia microstictoides,Parmelia saxatilis,Parmelia sulcata,Parmeliopsis ambigua,Parmeliopsis hyperopta,Peltigera membranacea,Peltigera praetextata,Pertusaria amara,Pertusaria borealis,Phaeophyscia orbicularis,Phlyctis argena,Physcia adscendens,Physcia aipolia,Physcia tenella,P. adscendens/tenella,Physconia distorta,Placynthiella icmalea,Platismatia glauca,Polycauliona polycarpa,Pseudevernia furfuracea,Pseudoschismatomma rufescens,Pycnora sorophora,Ramalina farinacea,Ropalospora viridis/Fuscidea pusilla,Scoliciosporum chlorococcum,Scoliciosporum sarothamni,Stenocybe pullatula,Toniniopsis subincompta ,Trapeliopsis flexuosa,Trapeliopsis granulosa,Tuckermannopsis chlorophylla,Usnea dasypoga,Usnea hirta,Usnea sp. lenghth longest thallus (mm),Violella fucata,Vulpicida pinastri,Xanthoria parietina,Xylopsora friesii,Comments
Söderlejde,1,Center,26/05/2018,GT,AT,No,,,11,Pa,11,0,S,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Söderlejde,1,Center,26/05/2018,GT,AT,No,,,12,Pa,13,10,S,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Söderlejde,1,Center,26/05/2018,GT,AT,No,,,13,Pa,13,20,S,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Söderlejde,1,Center,26/05/2018,GT,AT,No,,,14,Pa,16,10,S,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Söderlejde,1,Center,26/05/2018,GT,AT,No,,,15,Pa,17,10,S,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Söderlejde,1,Center,26/05/2018,GT,AT,No,,,16,Pa,14,10,S,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Söderlejde,1,Center,26/05/2018,GT,AT,No,,,17,Ps,11,0,S,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,
Söderlejde,1,Center,26/05/2018,GT,AT,No,,,18,Pa,14,50,S,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Söderlejde,1,Center,26/05/2018,GT,AT,No,,,19,Pa,13,10,S,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Söderlejde,1,Center,26/05/2018,GT,AT,No,,,20,Pa,11,70,S,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Söderlejde,1,Center,26/05/2018,GT,AT,No,,,21,Pa,11,0,S,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Söderlejde,1,Center,26/05/2018,GT,AT,No,,,22,Ps,20,0,S,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,
Söderlejde,1,Center,26/05/2018,GT,AT,No,,,23,Ps,17,0,S,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,1,,,
Söderlejde,1,Center,26/05/2018,GT,AT,No,,,24,Pa,12,20,S,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Söderlejde,1,Center,26/05/2018,GT,AT,No,,,25,Pa,10,90,S,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Söderlejde,1,Center,26/05/2018,GT,AT,No,,,26,Pa,12,80,S,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Söderlejde,1,Center,26/05/2018,GT,AT,No,,,27,Pa,10,10,S,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Söderlejde,1,Center,26/05/2018,GT,AT,No,,,28,Pa,12,10,S,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Söderlejde,1,Center,26/05/2018,GT,AT,No,,,29,Pa,12,70,S,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Söderlejde,1,Center,26/05/2018,GT,AT,No,,,30,Bp,21,0,S,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Söderlejde,1,Center,26/05/2018,GT,AT,No,,,31,Pa,10,0,S,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Söderlejde,1,Center,26/05/2018,GT,AT,No,,,32,Bp,15,0,S,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Söderlejde,1,Center,26/05/2018,GT,AT,No,,,33,Pa,15,20,S,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Söderlejde,1,Center,26/05/2018,GT,AT,No,,,34,Pa,12,0,S,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Söderlejde,1,Center,26/05/2018,GT,AT,No,,,35,Pa,10,10,S,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Söderlejde,1,Center,26/05/2018,GT,AT,No,,,36,Pa,10,0,S,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Söderlejde,1,Center,26/05/2018,GT,AT,No,,,37,Bp,11,0,S,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Söderlejde,1,Center,26/05/2018,GT,AT,No,,,38,Pa,14,0,S,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Söderlejde,1,Center,26/05/2018,GT,AT,No,,,39,Pa,13,0,S,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Söderlejde,1,Center,26/05/2018,GT,AT,No,,,40,Pa,13,0,S,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Söderlejde,1,Center,26/05/2018,GT,AT,No,,,41,Pa,20,10,S,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Söderlejde,1,Center,26/05/2018,GT,AT,No,,,42,Pa,17,50,S,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Söderlejde,1,Center,26/05/2018,GT,AT,No,,,43,Pa,13,40,S,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Söderlejde,1,Center,26/05/2018,GT,AT,No,,,1,Pa,10,10,B,,Yes,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,,,,,,,,1,,,,,,1,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,1,,,,1,,,,,,,1,,,,,1,,,
Söderlejde,1,Center,26/05/2018,GT,AT,No,,,2,Pa,13,10,B,,Yes,,,,,,,,,,,,1,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,1,,1,,,,1,,,,,,,,,1,23,1,1,,,
Söderlejde,1,Center,26/05/2018,GT,AT,No,,,3,Pa,16,10,B,,Yes,,,,,,,,,,,,1,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,1,,,,,,,1,,,,,1,,,
Söderlejde,1,Center,26/05/2018,GT,AT,No,,,4,Pa,11,10,B,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,1,,,
Söderlejde,1,Center,26/05/2018,GT,AT,No,,,5,Pa,18,20,B,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,1,,,,1,,,,,,,,,,,,1,,,
Söderlejde,1,Center,26/05/2018,GT,AT,No,,,6,Pa,12,10,B,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Söderlejde,1,Center,26/05/2018,GT,AT,No,,,7,Pa,16,0,B,,Yes,,,,,,,,,,,,1,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,,
Söderlejde,1,Center,26/05/2018,GT,AT,No,,,8,Ps,16,0,B,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,1,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Söderlejde,1,Center,26/05/2018,GT,AT,No,,,9,Pa,12,0,B,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,1,,,,1,,,,,,,,,,,1,1,,,
Söderlejde,1,Center,26/05/2018,GT,AT,No,,,10,Ps,14,0,B,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Söderlejde,1,Center,26/05/2018,GT,AT,No,,,11,Pa,11,0,B,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,1,,1,,,,1,,,,,,,1,,,,,,,,
Söderlejde,1,Center,26/05/2018,GT,AT,No,,,12,Pa,13,10,B,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,1,,1,,,,1,,,,,,,,,,,,1,,,
Söderlejde,1,Center,26/05/2018,GT,AT,No,,,13,Pa,13,20,B,,Yes,,,,,,,,,,,,1,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,1,,,,1,,,,,,,,,,,,1,,,
Söderlejde,1,Center,26/05/2018,GT,AT,No,,,14,Pa,16,10,B,,Yes,,,,,,,,,,,,1,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,1,,,,1,,,,,,,,,1,12,1,1,,,
Söderlejde,1,Center,26/05/2018,GT,AT,No,,,15,Pa,17,10,B,,Yes,,,,,,,,,,,,1,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,1,,1,,,,1,,,,,,,,,1,34,1,1,,,
Söderlejde,1,Center,26/05/2018,GT,AT,No,,,16,Pa,14,10,B,,Yes,,,,,,,,,,,,1,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,1,,1,,,,,,,,,,,,,,,,1,,,
Söderlejde,1,Center,26/05/2018,GT,AT,No,,,17,Ps,11,0,B,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,,
Söderlejde,1,Center,26/05/2018,GT,AT,No,,,18,Pa,14,50,B,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,,,,,,,1,,1,,,,1,,,,,,,,,,,,,,,
Söderlejde,1,Center,26/05/2018,GT,AT,No,,,19,Pa,13,10,B,,Yes,,,,,,,,,,,,1,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,1,,1,,,,1,,,,,,,1,,,,1,1,,,
Söderlejde,1,Center,26/05/2018,GT,AT,No,,,20,Pa,11,70,B,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,1,,,,,,,,,,,,1,,,
